LinkID,SampleID,HomeID,Type,PM25mass,Validity,Mass_mg,Volume_m3,comments,datestarted,dateended,PM25mass_flag
CA001110,10030,CA011,INDOOR,18.7,NULL,0.525,28.04,"","1999-07-13 00:00:00","1999-07-15 00:00:00",
CA001120,10038,CA011,OUTDOOR,16.4,NULL,0.4605,28.03,"","1999-07-13 00:00:00","1999-07-15 00:00:00",
CA001130,20016,CA011,"PERSONAL ADULT",25.1,NULL,0.2455,9.78,"","1999-07-13 00:00:00","1999-07-15 00:00:00",
CA002110,10071,CA012,INDOOR,23.2,NULL,0.64,27.55,"","1999-07-26 00:00:00","1999-07-28 00:00:00",
CA002130,20052,CA012,"PERSONAL ADULT",36,NULL,0.3625,10.06,"","1999-07-26 00:00:00","1999-07-28 00:00:00",
CA003110,10081,CA013,INDOOR,14.5,NULL,0.396,27.36,"","1999-08-15 00:00:00","1999-08-17 00:00:00",
CA003120,10080,CA013,OUTDOOR,8.6,NULL,0.239,27.75,"","1999-08-15 00:00:00","1999-08-17 00:00:00",
CA003130,20055,CA013,"PERSONAL ADULT",30.1,NULL,0.285,9.47,"","1999-08-15 00:00:00","1999-08-17 00:00:00",
CA004110,10100,CA014,INDOOR,17.9,NULL,0.5005,27.936,"","1999-08-23 00:00:00","1999-08-25 00:00:00",
CA004120,10099,CA014,OUTDOOR,17.6,NULL,0.5085,28.812,"","1999-08-23 00:00:00","1999-08-25 00:00:00",
CA004130,20013,CA014,"PERSONAL ADULT",25.9,NULL,0.2575,9.94,"","1999-08-23 00:00:00","1999-08-25 00:00:00",
CA005110,10078,CA015,INDOOR,24.8,NULL,0.696,28.02,"","1999-08-31 00:00:00","1999-09-02 00:00:00",
CA005120,10076,CA015,OUTDOOR,13.8,NULL,0.398,28.85,"","1999-08-31 00:00:00","1999-09-02 00:00:00",
CA005130,20057,CA015,"PERSONAL ADULT",42.3,NULL,0.381,8.9997,"","1999-08-31 00:00:00","1999-09-02 00:00:00",
CA006110,10074,CA016,INDOOR,26.5,NULL,0.725,27.406,"","1999-09-13 00:00:00","1999-09-15 00:00:00",
CA006120,10073,CA016,OUTDOOR,57.8,NULL,1.6515,28.571,NULL,"1999-09-13 00:00:00","1999-09-15 00:00:00",
CA006130,20014,CA016,"PERSONAL ADULT",31.7,NULL,0.3025,9.532,NULL,"1999-09-13 00:00:00","1999-09-15 00:00:00",
CA007110,10016,CA017,INDOOR,27.9,NULL,0.8425,30.2,NULL,"1999-09-16 00:00:00","1999-09-18 00:00:00",
CA007120,10017,CA017,OUTDOOR,34.8,NULL,1.053,30.27,NULL,"1999-09-16 00:00:00","1999-09-18 00:00:00",
CA007130,20067,CA017,"PERSONAL ADULT",45.3,NULL,0.474,10.46,NULL,"1999-09-16 00:00:00","1999-09-18 00:00:00",
CA008110,10019,CA018,INDOOR,30.4,NULL,0.8305,27.32,NULL,"1999-09-20 00:00:00","1999-09-22 00:00:00",
CA008120,10018,CA018,OUTDOOR,21,NULL,0.569,27.11,NULL,"1999-09-20 00:00:00","1999-09-22 00:00:00",
CA008130,20069,CA018,"PERSONAL ADULT",34.7,NULL,0.305,8.783,NULL,"1999-09-20 00:00:00","1999-09-22 00:00:00",
CA009110,10065,CA019,INDOOR,32.7,NULL,0.9095,27.79,NULL,"1999-09-27 00:00:00","1999-09-29 00:00:00",
CA009120,10064,CA019,OUTDOOR,33.6,NULL,0.9595,28.54,NULL,"1999-09-27 00:00:00","1999-09-29 00:00:00",
CA009130,20080,CA019,"PERSONAL ADULT",79.5,NULL,0.6835,8.598,NULL,"1999-09-27 00:00:00","1999-09-29 00:00:00",
CA010110,10110,CA020,INDOOR,12.9,NULL,0.3645,28.2142,NULL,"1999-10-04 00:00:00","1999-10-06 00:00:00",
CA010120,10111,CA020,OUTDOOR,18.2,NULL,0.521,28.66,NULL,"1999-10-04 00:00:00","1999-10-06 00:00:00",
CA010130,20077,CA020,"PERSONAL ADULT",36.2,NULL,0.3295,9.11376,NULL,"1999-10-04 00:00:00","1999-10-06 00:00:00",
CA011110,10113,CA021,INDOOR,12.9,NULL,0.35,27.04,NULL,"1999-10-06 00:00:00","1999-10-08 00:00:00",
CA011120,10114,CA021,OUTDOOR,13,NULL,0.361,27.85,NULL,"1999-10-06 00:00:00","1999-10-08 00:00:00",
CA011130,20088,CA021,"PERSONAL ADULT",48.1,NULL,0.44,9.143,"","1999-10-06 00:00:00","1999-10-08 00:00:00",
CA012110,10131,CA022,INDOOR,15.6,NULL,0.4475,28.65,"","1999-10-11 00:00:00","1999-10-13 00:00:00",
CA012120,10132,CA022,OUTDOOR,14.6,NULL,0.424,29.14,"","1999-10-11 00:00:00","1999-10-13 00:00:00",
CA012130,20091,CA022,"PERSONAL ADULT",17.6,NULL,0.174,9.876,"","1999-10-11 00:00:00","1999-10-13 00:00:00",
CA013110,10127,CA023,INDOOR,18.9,NULL,0.5235,27.7,"","1999-10-13 00:00:00","1999-10-15 00:00:00",
CA013120,10129,CA023,OUTDOOR,18.1,NULL,0.491,27.11,"","1999-10-13 00:00:00","1999-10-15 00:00:00",
CA013130,20036,CA023,"PERSONAL ADULT",48.8,NULL,0.431,8.838,"","1999-10-13 00:00:00","1999-10-15 00:00:00",
CA014110,10066,CA024,INDOOR,14.1,NULL,0.389,27.61,"","1999-10-18 00:00:00","1999-10-20 00:00:00",
CA014120,10067,CA024,OUTDOOR,15.3,NULL,0.431,28.11,"","1999-10-18 00:00:00","1999-10-20 00:00:00",
CA014130,20031,CA024,"PERSONAL ADULT",41.7,NULL,0.3915,9.38,"","1999-10-18 00:00:00","1999-10-20 00:00:00",
CA015110,10096,CA025,INDOOR,17.8,NULL,0.512,28.79,"","1999-10-25 00:00:00","1999-10-27 00:00:00",
CA015120,10097,CA025,OUTDOOR,21,NULL,0.617,29.396,"","1999-10-25 00:00:00","1999-10-27 00:00:00",
CA015130,20033,CA025,"PERSONAL ADULT",49.8,0,0.469,9.423,"there is a big hole on the filter","1999-10-25 00:00:00","1999-10-27 00:00:00",
CA016110,10060,CA026,INDOOR,24.3,NULL,0.674,27.69,"","1999-10-27 00:00:00","1999-10-29 00:00:00",
CA016120,10063,CA026,OUTDOOR,30.1,NULL,0.856,28.42,"","1999-10-27 00:00:00","1999-10-29 00:00:00",
CA016130,20034,CA026,"PERSONAL ADULT",43.5,NULL,0.4,9.2,"","1999-10-27 00:00:00","1999-10-29 00:00:00",
